query	runtime_s	answers	engine	benchmark	subset	querytype
C31	94.6364099979	417029	nLDE	WatDiv	General	C3
F11	0.9278709888459999	0	nLDE	WatDiv	General	F1
F12	5.75835990906	9	nLDE	WatDiv	General	F1
F13	5.36875200272	5	nLDE	WatDiv	General	F1
F14	5.378633975980001	4	nLDE	WatDiv	General	F1
F15	5.90391802788	9	nLDE	WatDiv	General	F1
F21	0.7546520233149999	0	nLDE	WatDiv	General	F2
F22	0.801646947861	0	nLDE	WatDiv	General	F2
F23	0.818487882614	6	nLDE	WatDiv	General	F2
F24	0.8359141349789999	8	nLDE	WatDiv	General	F2
F25	0.904428005219	6	nLDE	WatDiv	General	F2
F31	15.6516759396	26	nLDE	WatDiv	General	F3
F32	15.6394770145	5	nLDE	WatDiv	General	F3
F33	15.5647339821	26	nLDE	WatDiv	General	F3
F34	15.487639904000002	5	nLDE	WatDiv	General	F3
F35	15.5297729969	5	nLDE	WatDiv	General	F3
F41	0.780255079269	20	nLDE	WatDiv	General	F4
F42	0.749568939209	44	nLDE	WatDiv	General	F4
F43	0.7233939170839999	4	nLDE	WatDiv	General	F4
F44	0.724114894867	44	nLDE	WatDiv	General	F4
F45	0.7715418338779999	4	nLDE	WatDiv	General	F4
F51	36.7972841263	25	nLDE	WatDiv	General	F5
F52	37.3755569458	25	nLDE	WatDiv	General	F5
F53	36.4911558628	38	nLDE	WatDiv	General	F5
F54	36.8680717945	57	nLDE	WatDiv	General	F5
F55	37.3106238842	25	nLDE	WatDiv	General	F5
L11	0.6858911514280001	2	nLDE	WatDiv	General	L1
L12	0.378841161728	0	nLDE	WatDiv	General	L1
L13	0.607698202133	2	nLDE	WatDiv	General	L1
L14	0.405570983887	0	nLDE	WatDiv	General	L1
L15	0.499337911606	1	nLDE	WatDiv	General	L1
L21	3.4648201465599997	15	nLDE	WatDiv	General	L2
L22	3.6979799270599996	15	nLDE	WatDiv	General	L2
L23	21.2743768692	48	nLDE	WatDiv	General	L2
L24	20.2321400642	48	nLDE	WatDiv	General	L2
L25	89.5845971107	236	nLDE	WatDiv	General	L2
L31	0.621825933456	38	nLDE	WatDiv	General	L3
L32	0.31610202789299996	41	nLDE	WatDiv	General	L3
L33	0.46622991561899996	21	nLDE	WatDiv	General	L3
L34	0.47841405868500003	27	nLDE	WatDiv	General	L3
L35	0.30437493324299997	41	nLDE	WatDiv	General	L3
L41	0.314279794693	54	nLDE	WatDiv	General	L4
L42	0.369182825089	60	nLDE	WatDiv	General	L4
L43	0.297809839249	47	nLDE	WatDiv	General	L4
