query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
F31	1.5273149013499998	26	CROP	0.04897189140319999	535.075666667	6	0.0	0.0	2	5	False	0.001	0.001	4.0	169	1.4783430099467998	WatDiv	General
F32	0.42926096916199996	5	CROP	0.07974100112919999	482.5615	6	0.0	0.0	2	5	False	0.001	0.001	4.0	85	0.34951996803279994	WatDiv	General
F32	0.371747970581	5	CROP	0.0500459671021	482.5615	6	0.0	0.0	2	5	False	0.001	0.001	4.0	85	0.3217020034789	WatDiv	General
F32	0.39868593215899994	5	CROP	0.07654905319210001	482.5615	6	0.0	0.0	2	5	False	0.001	0.001	4.0	85	0.3221368789668999	WatDiv	General
F33	1.62414717674	26	CROP	0.0842490196228	535.075666667	6	0.0	0.0	2	5	False	0.001	0.001	4.0	169	1.5398981571172	WatDiv	General
F33	1.31663823128	26	CROP	0.0617709159851	535.075666667	6	0.0	0.0	2	5	False	0.001	0.001	4.0	169	1.2548673152949	WatDiv	General
F33	1.5512518882799997	26	CROP	0.078360080719	535.075666667	6	0.0	0.0	2	5	False	0.001	0.001	4.0	169	1.4728918075609998	WatDiv	General
F34	0.379506111145	5	CROP	0.04835414886469999	482.5615	6	0.0	0.0	2	5	False	0.001	0.001	4.0	85	0.33115196228029997	WatDiv	General
F34	0.367033004761	5	CROP	0.0466752052307	482.5615	6	0.0	0.0	2	5	False	0.001	0.001	4.0	85	0.32035779953029997	WatDiv	General
F34	0.42433500289899995	5	CROP	0.0719740390778	482.5615	6	0.0	0.0	2	5	False	0.001	0.001	4.0	85	0.35236096382119997	WatDiv	General
F35	0.42146611213699997	5	CROP	0.047479867935199996	486.73683333300005	6	0.0	0.0	2	5	False	0.001	0.001	4.0	100	0.3739862442018	WatDiv	General
F35	0.46007394790600004	5	CROP	0.0615499019623	486.73683333300005	6	0.0	0.0	2	5	False	0.001	0.001	4.0	100	0.39852404594370006	WatDiv	General
F35	0.444090127945	5	CROP	0.0489201545715	486.73683333300005	6	0.0	0.0	2	5	False	0.001	0.001	4.0	100	0.3951699733735	WatDiv	General
F41	0.821923017502	20	CROP	0.104223012924	538.9133333330001	9	0.0	0.0	2	5	False	0.001	0.001	4.0	244	0.717700004578	WatDiv	General
F41	0.8199620246889999	20	CROP	0.11301612854	538.9133333330001	9	0.0	0.0	2	5	False	0.001	0.001	4.0	244	0.7069458961489999	WatDiv	General
F41	0.830893993378	20	CROP	0.104491949081	538.9133333330001	9	0.0	0.0	2	5	False	0.001	0.001	4.0	244	0.726402044297	WatDiv	General
F42	0.743150949478	44	CROP	0.0978300571442	522.786666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	225	0.6453208923338	WatDiv	General
F42	0.821546077728	44	CROP	0.145977020264	522.786666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	225	0.6755690574640001	WatDiv	General
F42	0.7333788871770001	44	CROP	0.104615926743	522.786666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	225	0.628762960434	WatDiv	General
F43	0.833923101425	4	CROP	0.124769926071	519.506666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	234	0.709153175354	WatDiv	General
F43	0.857963085175	4	CROP	0.147607088089	519.506666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	234	0.710355997086	WatDiv	General
F43	0.8000130653380001	4	CROP	0.105365037918	519.506666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	234	0.6946480274200001	WatDiv	General
F44	0.7419369220730001	44	CROP	0.11422085762	522.786666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	225	0.6277160644530001	WatDiv	General
F44	0.810626029968	44	CROP	0.151610851288	522.786666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	225	0.65901517868	WatDiv	General
F44	0.764675855637	44	CROP	0.102501153946	522.786666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	225	0.662174701691	WatDiv	General
F45	0.808667898178	4	CROP	0.108592987061	519.506666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	234	0.700074911117	WatDiv	General
F45	0.7974221706389999	4	CROP	0.09776115417480001	519.506666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	234	0.6996610164641999	WatDiv	General
F45	0.827816963196	4	CROP	0.12526702880899998	519.506666667	9	0.0	0.0	2	5	False	0.001	0.001	4.0	234	0.702549934387	WatDiv	General
