query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
F42	2.18286108971	44	CROP	0.26532292366	727.727333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	429	1.91753816605	WatDiv	General
F42	2.17884588242	44	CROP	0.25696015358	727.727333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	429	1.92188572884	WatDiv	General
F42	2.1673040390000002	44	CROP	0.249632120132	727.727333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	429	1.9176719188680003	WatDiv	General
F43	2.22837400436	4	CROP	0.260021924973	725.147333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	423	1.968352079387	WatDiv	General
F43	2.25454807281	4	CROP	0.307661056519	725.147333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	423	1.946887016291	WatDiv	General
F43	2.1898398399400003	4	CROP	0.254077196121	725.147333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	423	1.9357626438190003	WatDiv	General
F44	2.12842702866	44	CROP	0.261116027832	727.727333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	429	1.867311000828	WatDiv	General
F44	2.1988809108700003	44	CROP	0.259484052658	727.727333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	429	1.9393968582120003	WatDiv	General
F44	2.24042701721	44	CROP	0.254601955414	727.727333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	429	1.985825061796	WatDiv	General
F45	2.2610840797400003	4	CROP	0.319631099701	725.147333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	423	1.9414529800390001	WatDiv	General
F45	2.19536685944	4	CROP	0.251205921173	725.147333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	423	1.944160938267	WatDiv	General
F45	2.14275598526	4	CROP	0.254522800446	725.147333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	423	1.888233184814	WatDiv	General
F51	0.904229879379	25	CROP	0.09143304824830001	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8127968311307	WatDiv	General
