query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	ac_cost_p_star	triple_pattern_count	robustness_threshold	robustness_p_star	cost_threshold	cost_p_star_cost_r_star_ratio	r_star_selected	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
S22	5.42179393768	14	CROP	0.0570290088654	298.71133333299997	298.7113333333333	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	642	5.3647649288146	WatDiv	General
S22	5.59309983253	14	CROP	0.08878898620610001	298.71133333299997	298.7113333333333	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	642	5.5043108463239	WatDiv	General
S22	5.21187615395	14	CROP	0.0628621578217	298.71133333299997	298.7113333333333	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	642	5.1490139961283	WatDiv	General
S23	3.4508390426599997	12	CROP	0.060821056366	221.88400000000001	221.88400000000001	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	292	3.3900179862939996	WatDiv	General
S23	3.30378007889	12	CROP	0.0651822090149	221.88400000000001	221.88400000000001	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	292	3.2385978698751	WatDiv	General
S23	3.56674003601	12	CROP	0.06641578674319999	221.88400000000001	221.88400000000001	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	292	3.5003242492668	WatDiv	General
S24	3.26616883278	17	CROP	0.08295083045960001	225.65466666700001	225.65466666666663	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	335	3.1832180023204	WatDiv	General
S24	3.30283999443	17	CROP	0.0530400276184	225.65466666700001	225.65466666666663	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	335	3.2497999668116	WatDiv	General
S24	3.40768194199	17	CROP	0.0806348323822	225.65466666700001	225.65466666666663	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	335	3.3270471096078	WatDiv	General
S25	3.9987299442300004	11	CROP	0.05845093727109999	243.56533333299998	243.5653333333333	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	403	3.9402790069589004	WatDiv	General
S25	3.82452893257	11	CROP	0.09214687347410001	243.56533333299998	243.5653333333333	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	403	3.7323820590958996	WatDiv	General
S25	3.7693538665800004	11	CROP	0.0568571090698	243.56533333299998	243.5653333333333	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	403	3.7124967575102006	WatDiv	General
S31	0.422646999359	0	CROP	0.058914899826	229.171	229.171	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.363732099533	WatDiv	General
S31	0.37916994094800005	0	CROP	0.0691468715668	229.171	229.171	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.31002306938120006	WatDiv	General
S31	0.36298799514799995	0	CROP	0.07374405860899999	229.171	229.171	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.28924393653899994	WatDiv	General
S32	0.370470046997	0	CROP	0.0603809356689	228.761	228.761	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	60	0.31008911132809996	WatDiv	General
S32	0.362130880356	0	CROP	0.0678241252899	228.761	228.761	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	60	0.2943067550661	WatDiv	General
S32	0.34460806846600006	0	CROP	0.06377100944519999	228.761	228.761	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	60	0.2808370590208001	WatDiv	General
S33	1.43795418739	320	CROP	0.06513309478759999	228.46099999999998	228.46099999999998	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	198	1.3728210926024	WatDiv	General
S33	1.47192502022	320	CROP	0.070240020752	228.46099999999998	228.46099999999998	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	198	1.401684999468	WatDiv	General
S33	1.38133406639	320	CROP	0.0664920806885	228.46099999999998	228.46099999999998	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	198	1.3148419857015	WatDiv	General
S34	0.380825042725	0	CROP	0.0787041187286	229.081	229.081	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.3021209239964	WatDiv	General
S34	0.400480985641	0	CROP	0.099436044693	229.081	229.081	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.301044940948	WatDiv	General
S34	0.339798927307	0	CROP	0.059453010559099996	229.081	229.081	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.2803459167479	WatDiv	General
S35	0.336045026779	0	CROP	0.0561800003052	229.081	229.081	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.2798650264738	WatDiv	General
S35	0.32678103446999995	0	CROP	0.0585548877716	229.081	229.081	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.26822614669839995	WatDiv	General
S35	0.35463309288	0	CROP	0.0711262226105	229.081	229.081	4	0.25	1.0	0.7	1.0	False	4	5	True	0.001	0.001	4.0	61	0.2835068702695	WatDiv	General
S41	0.34054708480800006	0	CROP	0.06665301322940001	224.48	228.76766666666663	4	0.25	0.9812575495080162	0.7	1.0	False	4	5	True	0.001	0.001	4.0	56	0.2738940715786	WatDiv	General
S41	0.332616090775	0	CROP	0.0651178359985	224.48	228.76766666666663	4	0.25	0.9812575495080162	0.7	1.0	False	4	5	True	0.001	0.001	4.0	56	0.26749825477649997	WatDiv	General
S41	0.307958126068	0	CROP	0.0641510486603	224.48	228.76766666666663	4	0.25	0.9812575495080162	0.7	1.0	False	4	5	True	0.001	0.001	4.0	56	0.2438070774077	WatDiv	General
S42	0.8338949680329999	4	CROP	0.077082157135	192.482	356.8615	4	0.25	0.8508436279434272	0.7	1.0	False	4	5	True	0.001	0.001	4.0	127	0.7568128108979999	WatDiv	General
S42	0.77276802063	4	CROP	0.0579609870911	192.482	356.8615	4	0.25	0.8508436279434272	0.7	1.0	False	4	5	True	0.001	0.001	4.0	127	0.7148070335389001	WatDiv	General
S42	0.8716340065000001	4	CROP	0.0792369842529	192.482	356.8615	4	0.25	0.8508436279434272	0.7	1.0	False	4	5	True	0.001	0.001	4.0	127	0.7923970222471001	WatDiv	General
S43	0.45098805427599997	1	CROP	0.0723099708557	146.74466666700002	309.1895	4	0.25	0.8351943818704495	0.7	1.0	False	4	5	True	0.001	0.001	4.0	80	0.37867808342029996	WatDiv	General
S43	0.429511070251	1	CROP	0.0637938976288	146.74466666700002	309.1895	4	0.25	0.8351943818704495	0.7	1.0	False	4	5	True	0.001	0.001	4.0	80	0.3657171726222	WatDiv	General
S43	0.424847126007	1	CROP	0.06174683570859999	146.74466666700002	309.1895	4	0.25	0.8351943818704495	0.7	1.0	False	4	5	True	0.001	0.001	4.0	80	0.36310029029839996	WatDiv	General
S44	0.789939880371	1	CROP	0.0562181472778	192.112	356.473	4	0.25	0.8507329680882797	0.7	1.0	False	4	5	True	0.001	0.001	4.0	125	0.7337217330932	WatDiv	General
