query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
L31,0.4064021110534668,0.018793821334838867,0.38760828971862793,38,38,False,False,1,0,120.197,120.197,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L31,0.5177130699157715,0.025638818740844727,0.49207425117492676,38,38,False,False,1,0,118.447,118.447,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L31,0.49059295654296875,0.018845081329345703,0.47174787521362305,38,38,False,False,1,0,117.28033333333335,117.28033333333335,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L31,0.3955881595611572,0.02032303810119629,0.37526512145996094,38,38,False,False,1,0,116.447,116.447,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.4446280002593994,0.02086496353149414,0.4237630367279053,33,27,False,False,1,0,141.442,141.442,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.43306994438171387,0.021528959274291992,0.4115409851074219,33,27,False,False,1,0,141.442,141.442,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.3789701461791992,0.01995086669921875,0.35901927947998047,33,27,False,False,1,0,126.44200000000001,126.44200000000001,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.44335484504699707,0.020838022232055664,0.4225168228149414,33,27,False,False,1,0,121.44200000000001,121.44200000000001,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.41442012786865234,0.019801855087280273,0.39461827278137207,33,27,False,False,1,0,118.94200000000001,118.94200000000001,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.4426310062408447,0.019279003143310547,0.4233520030975342,33,27,False,False,1,0,117.44200000000001,117.44200000000001,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
