query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
LSQ1,0.4600849151611328,0.03612685203552246,0.42395806312561035,43,4,False,False,1,1,13.703,43.37050000000001,4.0,4,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ1,0.4482760429382324,0.04993605613708496,0.39833998680114746,43,4,False,False,1,1,13.703,43.37050000000001,4.0,5,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ1,0.45682621002197266,0.02740311622619629,0.42942309379577637,43,4,False,False,1,1,13.703,43.37050000000001,4.0,6,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ4,0.49233007431030273,0.0329289436340332,0.45940113067626953,53,8,False,False,2,0,23.59,23.59,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ4,0.5411920547485352,0.03575301170349121,0.505439043045044,53,8,False,False,2,0,23.59,23.59,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ4,0.5429558753967285,0.03655600547790527,0.5063998699188232,53,8,False,False,2,0,23.59,23.59,4.0,4,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ4,0.30085206031799316,0.034912109375,0.26593995094299316,53,8,False,False,2,0,23.59,23.59,4.0,5,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
LSQ4,0.4628729820251465,0.03278779983520508,0.4300851821899414,53,8,False,False,2,0,23.59,23.59,4.0,6,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
MOQ2,0.553847074508667,0.04743599891662598,0.506411075592041,127,46,False,False,3,0,269.1766666666667,4470.55575,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ2,0.6016430854797363,0.05315113067626953,0.5484919548034668,127,46,False,False,3,0,269.1766666666667,4470.55575,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ2,0.5989518165588379,0.06425094604492188,0.534700870513916,127,46,False,False,3,0,269.1766666666667,4470.55575,4.0,4,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ2,0.6352050304412842,0.09400105476379395,0.5412039756774902,127,46,False,False,3,0,269.1766666666667,4470.55575,4.0,5,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ2,0.6440210342407227,0.09461617469787598,0.5494048595428467,127,46,False,False,3,0,269.1766666666667,4470.55575,4.0,6,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ5,0.44084787368774414,0.05061507225036621,0.39023280143737793,110,87,False,False,2,1,539.4533333333333,539.4533333333333,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ5,0.43224287033081055,0.05536198616027832,0.3768808841705322,110,87,False,False,2,1,539.4533333333333,539.4533333333333,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ5,0.4544379711151123,0.07750892639160156,0.37692904472351074,110,87,False,False,2,1,539.4533333333333,539.4533333333333,4.0,4,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ5,0.4636821746826172,0.07797908782958984,0.38570308685302734,110,87,False,False,2,1,539.4533333333333,539.4533333333333,4.0,5,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MOQ5,0.4559600353240967,0.07583808898925781,0.38012194633483887,110,87,False,False,2,1,539.4533333333333,539.4533333333333,4.0,6,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,4
MUQ3,1.0849769115447998,0.041494131088256836,1.043482780456543,169,68,False,False,1,1,246.99900000000002,246.99900000000002,4.0,2,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
MUQ3,1.1108088493347168,0.0365140438079834,1.0742948055267334,169,68,False,False,1,1,246.99900000000002,246.99900000000002,4.0,3,5,0,False,0.0,0.0,nLDE BM2,nLDE BM2,3
