query,runtime_s,requests,answers,timeout_reached,client,dataset,benchmark
S74,0.2951979637145996,40,13,False,crop,WatDiv,WatDiv
S74,0.2863619327545166,40,13,False,nlde,WatDiv,WatDiv
S75,0.24259209632873535,30,7,False,crop,WatDiv,WatDiv
S75,0.30349183082580566,30,7,False,nlde,WatDiv,WatDiv
XC11,8.064749956130981,2363,20,False,crop,WatDiv,WatDiv
XC11,48.77195906639099,2585,20,False,nlde,WatDiv,WatDiv
XC21,50.40484094619751,14123,2,False,crop,WatDiv,WatDiv
XC21,23.645111083984375,3516,2,False,nlde,WatDiv,WatDiv
XC31,59.126550912857056,5807,417029,False,crop,WatDiv,WatDiv
XC31,58.72886300086975,13177,417029,False,nlde,WatDiv,WatDiv
HIQ1,0.3488171100616455,20,2,False,crop,nLDE BM2,nLDE BM2
HIQ1,0.2176799774169922,22,2,False,nlde,nLDE BM2,nLDE BM2
HIQ2,0.32921409606933594,36,2,False,crop,nLDE BM2,nLDE BM2
HIQ2,0.2555680274963379,46,2,False,nlde,nLDE BM2,nLDE BM2
HIQ3,0.39006996154785156,45,4,False,crop,nLDE BM2,nLDE BM2
HIQ3,0.24919390678405762,65,4,False,nlde,nLDE BM2,nLDE BM2
HIQ4,1.849001169204712,469,170,False,crop,nLDE BM2,nLDE BM2
HIQ4,1.7936360836029053,469,170,False,nlde,nLDE BM2,nLDE BM2
HIQ5,0.6433451175689697,193,138,False,crop,nLDE BM2,nLDE BM2
HIQ5,0.6371588706970215,209,138,False,nlde,nLDE BM2,nLDE BM2
LSQ1,0.42438197135925293,43,4,False,crop,nLDE BM2,nLDE BM2
LSQ1,0.42128896713256836,32,4,False,nlde,nLDE BM2,nLDE BM2
LSQ2,0.43151187896728516,52,6,False,crop,nLDE BM2,nLDE BM2
LSQ2,0.35398006439208984,52,6,False,nlde,nLDE BM2,nLDE BM2
LSQ3,0.35457682609558105,36,7,False,crop,nLDE BM2,nLDE BM2
LSQ3,0.6778450012207031,88,7,False,nlde,nLDE BM2,nLDE BM2
LSQ4,0.5851550102233887,53,8,False,crop,nLDE BM2,nLDE BM2
LSQ4,0.32624101638793945,28,8,False,nlde,nLDE BM2,nLDE BM2
LSQ5,0.664154052734375,117,270,False,crop,nLDE BM2,nLDE BM2
LSQ5,0.6837320327758789,117,270,False,nlde,nLDE BM2,nLDE BM2
MOQ1,8.848190069198608,2095,15,False,crop,nLDE BM2,nLDE BM2
MOQ1,26.940155029296875,1881,15,False,nlde,nLDE BM2,nLDE BM2
MOQ2,0.604107141494751,127,46,False,crop,nLDE BM2,nLDE BM2
MOQ2,0.5688409805297852,138,46,False,nlde,nLDE BM2,nLDE BM2
MOQ3,0.4089081287384033,110,49,False,crop,nLDE BM2,nLDE BM2
MOQ3,0.4040548801422119,110,49,False,nlde,nLDE BM2,nLDE BM2
MOQ4,0.4137911796569824,110,56,False,crop,nLDE BM2,nLDE BM2
MOQ4,0.3773050308227539,110,56,False,nlde,nLDE BM2,nLDE BM2
MOQ5,0.4568510055541992,110,87,False,crop,nLDE BM2,nLDE BM2
MOQ5,0.4270601272583008,110,87,False,nlde,nLDE BM2,nLDE BM2
MUQ1,0.5472378730773926,64,7,False,crop,nLDE BM2,nLDE BM2
MUQ1,0.5726439952850342,64,7,False,nlde,nLDE BM2,nLDE BM2
MUQ2,0.7066869735717773,69,63,False,crop,nLDE BM2,nLDE BM2
MUQ2,0.6265268325805664,72,63,False,nlde,nLDE BM2,nLDE BM2
MUQ3,1.0750420093536377,169,68,False,crop,nLDE BM2,nLDE BM2
MUQ3,1.0494318008422852,169,68,False,nlde,nLDE BM2,nLDE BM2
MUQ4,1.1213099956512451,235,114,False,crop,nLDE BM2,nLDE BM2
MUQ4,1.1887178421020508,273,114,False,nlde,nLDE BM2,nLDE BM2
MUQ5,23.250518083572388,5070,1768,False,crop,nLDE BM2,nLDE BM2
MUQ5,22.704159021377563,2765,1768,False,nlde,nLDE BM2,nLDE BM2
Q01,0.27350592613220215,33,2,False,crop,nLDE BM1,nLDE BM1
Q01,0.43349790573120117,71,2,False,nlde,nLDE BM1,nLDE BM1
Q02,3.477012872695923,324,8,False,crop,nLDE BM1,nLDE BM1
Q02,0.4483940601348877,69,8,False,nlde,nLDE BM1,nLDE BM1
Q03,0.892247200012207,257,18,False,crop,nLDE BM1,nLDE BM1
Q03,0.8198652267456055,198,18,False,nlde,nLDE BM1,nLDE BM1
Q04,0.47553086280822754,119,54,False,crop,nLDE BM1,nLDE BM1
Q04,0.7568728923797607,148,54,False,nlde,nLDE BM1,nLDE BM1
Q05,163.85418510437012,7327,1091,False,crop,nLDE BM1,nLDE BM1
Q05,600.0,19406,185,True,nlde,nLDE BM1,nLDE BM1
Q06,1.8271660804748535,440,188,False,crop,nLDE BM1,nLDE BM1
Q06,4.050818204879761,915,188,False,nlde,nLDE BM1,nLDE BM1
Q07,1.9376130104064941,358,251,False,crop,nLDE BM1,nLDE BM1
Q07,0.9170880317687988,375,251,False,nlde,nLDE BM1,nLDE BM1
Q08,23.701431035995483,8465,17807,False,crop,nLDE BM1,nLDE BM1
Q08,600.0,51688,645,True,nlde,nLDE BM1,nLDE BM1
Q09,1.675023078918457,239,5223,False,crop,nLDE BM1,nLDE BM1
Q09,0.8992440700531006,170,5223,False,nlde,nLDE BM1,nLDE BM1
Q10,19.95114302635193,4209,9040,False,crop,nLDE BM1,nLDE BM1
Q10,21.4699969291687,2940,9040,False,nlde,nLDE BM1,nLDE BM1
Q11,421.03595089912415,73725,9481,False,crop,nLDE BM1,nLDE BM1
Q11,600.0,30224,4908,True,nlde,nLDE BM1,nLDE BM1
Q12,14.414752960205078,1067,11002,False,crop,nLDE BM1,nLDE BM1
Q12,14.394279956817627,2411,11002,False,nlde,nLDE BM1,nLDE BM1
Q13,600.0,55100,6935,True,crop,nLDE BM1,nLDE BM1
