query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F13,1.0737509727478027,0.07616591453552246,0.9975850582122803,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.2,0.1,WatDiv,WatDiv,6
F13,1.1516060829162598,0.11578893661499023,1.0358171463012695,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.2,0.3,WatDiv,WatDiv,6
F13,1.07716703414917,0.09946107864379883,0.9777059555053711,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.2,0.5,WatDiv,WatDiv,6
F13,1.1021480560302734,0.09358596801757812,1.0085620880126953,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.2,0.7,WatDiv,WatDiv,6
F13,1.0535171031951904,0.07622504234313965,0.9772920608520508,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.2,0.9,WatDiv,WatDiv,6
F13,1.0744800567626953,0.07513117790222168,0.9993488788604736,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.25,0.1,WatDiv,WatDiv,6
F13,1.0976948738098145,0.10299491882324219,0.9946999549865723,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.25,0.3,WatDiv,WatDiv,6
F13,1.107084035873413,0.10535097122192383,1.0017330646514893,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.25,0.5,WatDiv,WatDiv,6
F13,1.047698974609375,0.07323002815246582,0.9744689464569092,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.25,0.7,WatDiv,WatDiv,6
F13,1.0533678531646729,0.07510781288146973,0.9782600402832031,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.25,0.9,WatDiv,WatDiv,6
F22,0.8805201053619385,0.11762690544128418,0.7628931999206543,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.05,0.1,WatDiv,WatDiv,8
F22,0.868074893951416,0.16648602485656738,0.7015888690948486,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.05,0.3,WatDiv,WatDiv,8
F22,0.7925870418548584,0.12254905700683594,0.6700379848480225,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.05,0.5,WatDiv,WatDiv,8
F22,0.9334878921508789,0.16668391227722168,0.7668039798736572,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.05,0.7,WatDiv,WatDiv,8
F22,0.7921319007873535,0.12238383293151855,0.669748067855835,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.05,0.9,WatDiv,WatDiv,8
F22,0.8903219699859619,0.16950201988220215,0.7208199501037598,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.1,0.1,WatDiv,WatDiv,8
F22,0.9031100273132324,0.16296696662902832,0.7401430606842041,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.1,0.3,WatDiv,WatDiv,8
F22,0.771820068359375,0.12412095069885254,0.6476991176605225,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.1,0.5,WatDiv,WatDiv,8
F22,0.8585619926452637,0.12817096710205078,0.7303910255432129,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.1,0.7,WatDiv,WatDiv,8
F22,0.9419529438018799,0.16484498977661133,0.7771079540252686,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.1,0.9,WatDiv,WatDiv,8
F22,0.9084360599517822,0.12115216255187988,0.7872838973999023,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.15,0.1,WatDiv,WatDiv,8
F22,0.885127067565918,0.16072702407836914,0.7244000434875488,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.15,0.3,WatDiv,WatDiv,8
F22,0.9184401035308838,0.1549968719482422,0.7634432315826416,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.15,0.5,WatDiv,WatDiv,8
F22,0.9673638343811035,0.17601394653320312,0.7913498878479004,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.15,0.7,WatDiv,WatDiv,8
F22,0.8269460201263428,0.1233830451965332,0.7035629749298096,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.15,0.9,WatDiv,WatDiv,8
F22,0.9307050704956055,0.18062686920166016,0.7500782012939453,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.2,0.1,WatDiv,WatDiv,8
F22,0.9033172130584717,0.1595158576965332,0.7438013553619385,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.2,0.3,WatDiv,WatDiv,8
F22,0.8795289993286133,0.16350007057189941,0.7160289287567139,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.2,0.5,WatDiv,WatDiv,8
F22,0.8906950950622559,0.1247568130493164,0.7659382820129395,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.2,0.7,WatDiv,WatDiv,8
F22,0.9115450382232666,0.14376187324523926,0.7677831649780273,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.2,0.9,WatDiv,WatDiv,8
F22,0.9050509929656982,0.15980195999145508,0.7452490329742432,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.25,0.1,WatDiv,WatDiv,8
F22,0.9437971115112305,0.18610692024230957,0.7576901912689209,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.25,0.3,WatDiv,WatDiv,8
F22,0.7217361927032471,0.12589001655578613,0.5958461761474609,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.25,0.5,WatDiv,WatDiv,8
F22,0.9474329948425293,0.1787400245666504,0.7686929702758789,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.25,0.7,WatDiv,WatDiv,8
F22,0.9068748950958252,0.12590503692626953,0.7809698581695557,75,0,False,False,7,0,238.19221428571427,414.2012976190476,4.0,4,5,0,True,0.25,0.9,WatDiv,WatDiv,8
F23,1.0660371780395508,0.15892887115478516,0.9071083068847656,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.05,0.1,WatDiv,WatDiv,8
F23,1.1052849292755127,0.14592599868774414,0.9593589305877686,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.05,0.3,WatDiv,WatDiv,8
