query,runtime_s,requests,answers,switch_percentage_PHJ,switch_percentage_PBJ,timeout_reached,planner,bind_join_only,hash_join_only,poly_hash_join,poly_bind_join,dataset,benchmark
F21,0.897022008895874,140,0,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F21,0.6619679927825928,63,0,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F21,0.7631268501281738,63,0,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F21,0.4761929512023926,38,0,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F21,0.8779501914978027,140,0,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F22,0.9082989692687988,69,0,0.0,0.14285714285714285,False,crop,False,,True,True,watdiv,WatDiv
F22,0.5153319835662842,102,0,0.6666666666666666,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F22,1.0343661308288574,145,0,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F22,0.8725810050964355,75,0,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F22,0.4616820812225342,94,0,0.6666666666666666,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F22,0.9483869075775146,145,0,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F22,0.8165600299835205,69,0,0.0,0.14285714285714285,False,crop,False,,False,True,watdiv,WatDiv
F22,0.8536629676818848,69,0,0.0,0.14285714285714285,False,ldp nlj,True,,False,True,watdiv,WatDiv
F22,0.7751860618591309,145,0,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F22,0.964824914932251,145,0,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F22,0.9269421100616455,75,0,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F22,0.7500269412994385,75,0,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F22,0.792975902557373,145,0,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F22,0.8801419734954834,145,0,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F23,1.1007490158081055,237,7,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F23,1.1315069198608398,375,7,0.5,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F23,0.9777610301971436,237,7,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F23,1.0003490447998047,237,7,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F23,1.1779630184173584,379,7,0.5,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F23,0.922497034072876,237,7,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F23,0.9817640781402588,237,7,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F23,0.8977370262145996,189,7,0.0,0.14285714285714285,False,ldp nlj,True,,False,True,watdiv,WatDiv
F23,4.161319017410278,665,7,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F23,0.9562351703643799,237,7,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F23,1.0029330253601074,237,7,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F23,7.768573999404907,859,7,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F23,4.080701112747192,665,7,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F23,0.9828770160675049,237,7,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F24,1.0286478996276855,202,8,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F24,1.007338047027588,330,8,0.5,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F24,0.897193193435669,202,8,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F24,0.9800930023193359,202,8,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F24,1.0536952018737793,328,8,0.5,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F24,0.9719691276550293,202,8,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F24,1.0606458187103271,202,8,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F24,0.8026130199432373,146,8,0.0,0.14285714285714285,False,ldp nlj,True,,False,True,watdiv,WatDiv
F24,3.9705851078033447,662,8,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F24,0.9556431770324707,202,8,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F24,0.9308829307556152,202,8,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F24,3.3519928455352783,406,8,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F24,4.041331052780151,662,8,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F24,0.8653841018676758,202,8,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F25,1.0435519218444824,237,7,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F25,1.185133934020996,385,7,0.5,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F25,0.9591870307922363,237,7,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F25,1.023271083831787,237,7,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F25,1.1452279090881348,387,7,0.5,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F25,1.0050220489501953,237,7,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F25,1.006951093673706,237,7,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F25,0.7918808460235596,189,7,0.0,0.14285714285714285,False,ldp nlj,True,,False,True,watdiv,WatDiv
F25,3.9950110912323,665,7,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F25,0.8639528751373291,237,7,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F25,0.9598648548126221,237,7,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F25,7.8218910694122314,859,7,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F25,4.109475135803223,665,7,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F25,0.8979339599609375,237,7,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F31,1.021148920059204,170,26,0.0,0.2,False,crop,False,,True,True,watdiv,WatDiv
F31,0.7835290431976318,144,26,0.0,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F31,18.38308596611023,1989,26,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F31,1.1286561489105225,169,26,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F31,0.7912180423736572,144,26,0.0,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F31,18.233747959136963,1989,26,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
