approach	dief_t	dief_t_relative	t_max	t_min	test	dataset	rank
nLDE	541.314852356895	0.6793160812457185	39.8426349163	12.965195179	example/watdiv//C11.rq	watdiv	3.0
CROP	685.603654742238	0.8603894498726425	39.8426349163	12.965195179	example/watdiv//C11.rq	watdiv	1.0
comunica	618.095198326	0.7756705845691085	39.8426349163	12.965195179	example/watdiv//C11.rq	watdiv	2.0
nLDE	0.0013754366999991774	5.8020595558343476e-05	11.853003978699999	7.83	example/watdiv//C21.rq	watdiv	3.0
CROP	0.7640411853999991	0.03222985442226253	11.853003978699999	7.83	example/watdiv//C21.rq	watdiv	2.0
comunica	8.047507957399997	0.3394712417148207	11.853003978699999	7.83	example/watdiv//C21.rq	watdiv	1.0
nLDE	87663944.1359047	0.8187208300924327	256.755	67.2805390358	example/watdiv//C31.rq	watdiv	2.0
CROP	93824275.3006909	0.876254078163715	256.755	67.2805390358	example/watdiv//C31.rq	watdiv	1.0
comunica	53883305.771000005	0.5032329455832579	256.755	67.2805390358	example/watdiv//C31.rq	watdiv	3.0
nLDE	0.06050062181000415	0.0011080608198143927	6.06671690941	1.4906988143900002	example/watdiv//F12.rq	watdiv	3.0
CROP	45.33395457269051	0.8302853320581506	6.06671690941	1.4906988143900002	example/watdiv//F12.rq	watdiv	1.0
comunica	31.23345218469	0.5720365113285248	6.06671690941	1.4906988143900002	example/watdiv//F12.rq	watdiv	2.0
nLDE	0.0015400648199994649	5.486197565096723e-05	5.61432504654	0.481755018234	example/watdiv//F13.rq	watdiv	3.0
CROP	25.923786640171002	0.9234872019441529	5.61432504654	0.481755018234	example/watdiv//F13.rq	watdiv	1.0
comunica	20.3046252327	0.7233149154843946	5.61432504654	0.481755018234	example/watdiv//F13.rq	watdiv	2.0
nLDE	0.0004388093800025139	1.9278907633941303e-05	5.690278053280001	1.02278804779	example/watdiv//F14.rq	watdiv	3.0
CROP	19.964208364470505	0.877119192486679	5.690278053280001	1.02278804779	example/watdiv//F14.rq	watdiv	1.0
comunica	15.112112213120003	0.6639443657946139	5.690278053280001	1.02278804779	example/watdiv//F14.rq	watdiv	2.0
nLDE	0.06270682814000716	0.0011463802459950804	6.077761173250001	1.50662708282	example/watdiv//F15.rq	watdiv	3.0
CROP	45.284165501615504	0.8278663476889103	6.077761173250001	1.50662708282	example/watdiv//F15.rq	watdiv	1.0
comunica	30.70885055925001	0.5614064800046696	6.077761173250001	1.50662708282	example/watdiv//F15.rq	watdiv	2.0
nLDE	25.898396372795002	0.9087156622033334	4.75	0.8414721488950001	example/watdiv//F23.rq	watdiv	1.0
CROP	25.815152168274004	0.9057948129218949	4.75	0.8414721488950001	example/watdiv//F23.rq	watdiv	2.0
comunica	14.895000000000001	0.44796992481203013	4.75	0.8414721488950001	example/watdiv//F23.rq	watdiv	3.0
nLDE	20.691552124022998	0.7970551665648304	3.245	0.836370944977	example/watdiv//F24.rq	watdiv	1.0
CROP	20.092410407067504	0.7739757475757898	3.245	0.836370944977	example/watdiv//F24.rq	watdiv	2.0
comunica	8.3525	0.3217449922958397	3.245	0.836370944977	example/watdiv//F24.rq	watdiv	3.0
nLDE	24.050042102814	0.9042049064897362	4.433	0.782659053802	example/watdiv//F25.rq	watdiv	1.0
CROP	23.8354376058585	0.8961364616083352	4.433	0.782659053802	example/watdiv//F25.rq	watdiv	2.0
comunica	13.346499999999999	0.4301021559086075	4.433	0.782659053802	example/watdiv//F25.rq	watdiv	3.0
nLDE	208.13118565128502	0.5931036312984641	13.4968750477	1.64180111885	example/watdiv//F31.rq	watdiv	3.0
CROP	324.44663226647697	0.9245633957143454	13.4968750477	1.64180111885	example/watdiv//F31.rq	watdiv	1.0
comunica	314.0217512402	0.8948560033637405	13.4968750477	1.64180111885	example/watdiv//F31.rq	watdiv	2.0
nLDE	11.264183640275004	0.18711562024730893	12.0398111343	0.379972934723	example/watdiv//F32.rq	watdiv	3.0
CROP	58.74042093734501	0.9757698070528777	12.0398111343	0.379972934723	example/watdiv//F32.rq	watdiv	1.0
comunica	53.687055671500005	0.8918255456441824	12.0398111343	0.379972934723	example/watdiv//F32.rq	watdiv	2.0
nLDE	211.09104561870998	0.5977443776288397	13.5825390816	1.6417641639700002	example/watdiv//F33.rq	watdiv	3.0
CROP	326.6323049075395	0.9249213922749423	13.5825390816	1.6417641639700002	example/watdiv//F33.rq	watdiv	1.0
comunica	314.0395161216	0.8892625197093139	13.5825390816	1.6417641639700002	example/watdiv//F33.rq	watdiv	2.0
nLDE	11.165435910184996	0.18610930496348588	11.9987938404	0.449676036835	example/watdiv//F34.rq	watdiv	3.0
CROP	58.143465638119494	0.9691551736200376	11.9987938404	0.449676036835	example/watdiv//F34.rq	watdiv	1.0
comunica	53.413469202	0.8903139750956731	11.9987938404	0.449676036835	example/watdiv//F34.rq	watdiv	2.0
nLDE	10.245700836169998	0.2992926223448702	6.84661102295	0.430052995682	example/watdiv//F35.rq	watdiv	3.0
CROP	32.3867880106015	0.9460677085945215	6.84661102295	0.430052995682	example/watdiv//F35.rq	watdiv	1.0
comunica	24.822555114750003	0.7251048739747071	6.84661102295	0.430052995682	example/watdiv//F35.rq	watdiv	2.0
nLDE	66.423982958794	0.8742298362568307	3.799	0.6730761528020001	example/watdiv//F41.rq	watdiv	1.0
CROP	65.295097928048	0.8593721759416687	3.799	0.6730761528020001	example/watdiv//F41.rq	watdiv	2.0
comunica	21.3705	0.28126480652803365	3.799	0.6730761528020001	example/watdiv//F41.rq	watdiv	3.0
nLDE	130.691992165566	0.877999571155013	3.383	0.6108880043029999	example/watdiv//F42.rq	watdiv	1.0
CROP	128.198589326859	0.8612486854517172	3.383	0.6108880043029999	example/watdiv//F42.rq	watdiv	2.0
comunica	36.8125	0.24730940800257975	3.383	0.6108880043029999	example/watdiv//F42.rq	watdiv	3.0
nLDE	4.142025485991501	0.6557988419872547	1.579	0.543649196625	example/watdiv//F43.rq	watdiv	1.0
CROP	3.7106176767354997	0.5874948823203768	1.579	0.543649196625	example/watdiv//F43.rq	watdiv	2.0
comunica	0.018999999999999906	0.003008233058898022	1.579	0.543649196625	example/watdiv//F43.rq	watdiv	3.0
nLDE	129.9804801893215	0.8805072496228254	3.355	0.600340127945	example/watdiv//F44.rq	watdiv	1.0
CROP	127.6224573802975	0.8645336497784684	3.355	0.600340127945	example/watdiv//F44.rq	watdiv	2.0
comunica	36.138	0.24480422706950275	3.355	0.600340127945	example/watdiv//F44.rq	watdiv	3.0
nLDE	3.5669841918935	0.61330539750576	1.454	0.5623760223390001	example/watdiv//F45.rq	watdiv	1.0
CROP	3.2176422033304997	0.5532397185919016	1.454	0.5623760223390001	example/watdiv//F45.rq	watdiv	2.0
comunica	0.004999999999999782	0.0008596973865199076	1.454	0.5623760223390001	example/watdiv//F45.rq	watdiv	3.0
nLDE	46.179609775484494	0.4466466208582023	4.13567304611	0.8604640960690001	example/watdiv//F51.rq	watdiv	3.0
CROP	89.651275157878	0.8671021539500439	4.13567304611	0.8604640960690001	example/watdiv//F51.rq	watdiv	1.0
comunica	64.90682615275	0.6277752175192005	4.13567304611	0.8604640960690001	example/watdiv//F51.rq	watdiv	2.0
nLDE	40.53026700021099	0.43089802200169397	3.76239991188	0.888496875763	example/watdiv//F52.rq	watdiv	3.0
CROP	79.744171261778	0.8478011176853485	3.76239991188	0.888496875763	example/watdiv//F52.rq	watdiv	1.0
comunica	57.81799779699999	0.6146927402845854	3.76239991188	0.888496875763	example/watdiv//F52.rq	watdiv	2.0
nLDE	70.17286336414251	0.4682248053953988	3.94394803047	1.3222658634200002	example/watdiv//F53.rq	watdiv	3.0
CROP	122.081520795751	0.8145826403055647	3.94394803047	1.3222658634200002	example/watdiv//F53.rq	watdiv	1.0
comunica	81.38202515786	0.5430173583552768	3.94394803047	1.3222658634200002	example/watdiv//F53.rq	watdiv	2.0
nLDE	127.129811167727	0.5274893827246484	4.22823214531	1.77922606468	example/watdiv//F54.rq	watdiv	2.0
